No.,IUPAC_Name,SMILES,Td/K,doi
entry1,"tris(2,2,2-trinitroethoxy)methane",O=[N+](C(COCOCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],468.15, 10.1002/zaac.201100340
entry2,tris(2-(1H-tetrazol-1-yl)ethyl)amine,N1(C=NN=N1)CCN(CCN2C=NN=N2)CCN3N=NN=C3,472.15,10.1515/znb-2009-11-1237
entry3,"trimethyl 2,2',2''-(((1E,4E)-pentaaza-1,4-diene-1,3,5-triyl)tris(2H-tetrazole-5,2-diyl))triacetate",OCCN1N=C(N(/N=N/C2=NN(CCO)N=N2)/N=N/C3=NN(CCO)N=N3)N=N1,392.15,10.1039/c6cc08179g
entry4,"tri(1,2,4,5-tetrazin-3-yl)amine",C1(N(C2=NN=CN=N2)C3=NN=CN=N3)=NN=CN=N1,504.15,10.1021/acs.joc.9b02484
entry5,"tetrakis(2,2,2-trinitroethoxy)methane",O=[N+](C(COC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],464.15, 10.1002/zaac.201100340
entry6,"tetrakis(2,2,2-trinitroethoxy)methane",O=[N+](C(COC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],307.15, 10.1002/zaac.201100340
entry7,"propane-1,2,3-triyl tris(nitrocarbamate)",O=C(OCC(OC(N[N+]([O-])=O)=O)COC(N[N+]([O-])=O)=O)N[N+]([O-])=O,425.15, 10.1002/zaac.201500795
entry8,"propane-1,2,3-triyl trinitrate",O=[N+](OCC(CO[N+]([O-])=O)O[N+]([O-])=O)[O-],470.55,10.1016/j.tca.2013.05.032
entry9,"pentane-1,2,3,4,5-pentayl pentanitrate",O=[N+](OC(C(C(CO[N+]([O-])=O)O[N+]([O-])=O)O[N+]([O-])=O)CO[N+]([O-])=O)[O-],447.95,10.1016/j.tca.2013.05.032
entry10,"oxybis(propane-3,1,2-triyl) tetranitrate",O=C(OCC)N(C1=NON=C1N([N+]([O-])=O)C(OCC)=O)[N+]([O-])=O,397.15, 10.1021/jacs.5b09831
entry11,"oxybis(ethane-2,1-diyl) bis(2-azidoacetate)",O=C(OCCOCCOC(CN=[N+]=[N-])=O)CN=[N+]=[N-],504.52,10.1002/prep.202100105
entry12,"oxetane-3,3-diyl dinitrate",O=[N+](C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2[N+]([O-])=O)[O-],423.15,10.1002/zaac.201700037
entry13,oxetan-3-yl nitrate,CC1(O[N+]([O-])=O)COC1,414.15, 10.1039/d1cc00466b
entry14,"N-nitro-N-(2,2,2-trinitroethyl)glycine",CN(CC(N[N+]([O-])=O)=O)[N+]([O-])=O,386.15,10.1002/asia.201601148
entry15,N-methyl-N-nitroglycine,CN(CC(O)=O)[N+]([O-])=O,426.15,10.1002/asia.201601148
entry16,N-methylnitrous hydrazide,CN(N)N=O,394.15,10.1002/zaac.201100446
